MPID	Title	BrandorManufacturer	MPN	UPC	ISBN	MerchantSKU	ProductURL	Price	StockStatus	Description	ImageURL	Shipping	MerchantCategory	BingCategory	ShippingWeight	Condition	PricewithDiscount	DealStartDateTime	DealExpirationDateTime	Tax	bingads_grouping	bingads_label	bingads_publish	bingads_redirect	DealURL	Shipping
1118	No Slip - Shoes For Crews - SFC Sole Grid Cleaner (pack of 20) Shoe Accessories	Shoes For Crews	1118			1118	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1118&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1118	3.98	In Stock	A MUST to keep the grids of your SFC outsoles clean and in superior gripping condition. 20 pack	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1120	No Slip - Sneakerballs - SneakerBalls - 2 Pack Shoe Accessories	Sneakerballs	1120			1120	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1120&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1120	4.98	In Stock	"Sneakerballs® aren't like any other air fresheners. They're smaller, tougher and rounder. Why? Because they have to work in nasty little places where other air fresheners don't fit. They are the only air fresheners with the moxie to tackle the inside of a sneaker, gym bag or locker-where the ugly stuff grows!"	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1122	No Slip - Sof Sole - Massaging Gel Insoles - Men's Shoe Accessories	Sof Sole	1122			1122	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1122&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1122	14.98	In Stock	"Sof Sole insoles help reduce foot pain with unsurpassed technical features.The Sof Sole® Massaging Gel™ insoles are made with over 100 individual gel cushioning cells that support and soothe your stride. These cells move independently with every step, and massage your feet while you walk.  Insoles may not be compatible with all shoe types."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1123	Non Slip - Sof Sole - Massaging Gel Insoles - Women's Shoe Accessories	Sof Sole	1123			1123	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1123&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1123	14.98	In Stock	"All Sof Sole performance insoles reduce foot pain with unsurpassed technical features.The Sof Sole® Massaging Gel™ insoles are made with over 100 individual gel cushioning cells that support and soothe your stride. These cells move independently with every step, and massage your feet while you walk.  Insoles may not be compatible with all shoe types."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1124	Anti-Skid - Sof Sole - Airr Orthotic Insoles - Men's Shoe Accessories	Sof Sole	1124			1124	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1124&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1124	29.98	In Stock	"All Sof Sole performance insoles reduce foot pain with unsurpassed technical features.The Sof Sole® Airr® Orthotic insole combines four specific technologies to optimize cushioning and stability. Polymer gel, reinforced stability plate, encapsulated air chamber and energy rebound foam.  Insoles may not be compatible with all shoe types."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1125	Non Slip - Sof Sole - Airr Orthotic Insoles - Women's Shoe Accessories	Sof Sole	1125			1125	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1125&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1125	29.98	In Stock	"All Sof Sole performance insoles reduce foot pain with unsurpassed technical features.The Sof Sole® Airr® Orthotic insole combines four specific technologies to optimize cushioning and stability. Polymer gel, reinforced stability plate, encapsulated air chamber and energy rebound foam.  Insoles may not be compatible with all shoe types."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	US:western states::0 USD	Shoe Accessories	Clothing & Shoes		New					shoes					
1128	Anti Slip - Sof Sole - Arch Insoles - Men's Shoe Accessories	Sof Sole	1128			1128	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1128&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1128	19.98	In Stock	"All Sof Sole performance insoles reduce foot pain with unsurpassed technical features.If you have high arches or need serious arch support, the Sof Sole® Arch™ is for you. A reinforced gel arch combined with a full IMPLUS® footbed provides amazing cushioning with firm, comfortable support. Discover the remarkable benefit of performance arch cushioning and support with the Sof Sole Arch.  Insoles may not be compatible with all shoe types."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1129	Slip Proof - Sof Sole - Arch Insoles - Women's Shoe Accessories	Sof Sole	1129			1129	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1129&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1129	19.98	In Stock	"All Sof Sole performance insoles reduce foot pain with unsurpassed technical features.If you have high arches or need serious arch support, the Sof Sole® Arch™ is for you. A reinforced gel arch combined with a full IMPLUS® footbed provides amazing cushioning with firm, comfortable support. Discover the remarkable benefit of performance arch cushioning and support with the Sof Sole Arch.  Insoles may not be compatible with all shoe types."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1131	Slip Resistant - Shoes For Crews - SOF Sole Heel Spur Pad - Men's Shoe Accessories	Shoes For Crews	1131			1131	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1131&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1131	12.98	In Stock	Dual-density design for maximum comfort. SOF Sole Heel Spur Pad disperse heel strike shock and pressure to reduce discomfort. Built to fit most shoe styles. Available in both Men's and Women's sizes.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1132	No Slip - Shoes For Crews - SOF Sole Heel Spur Pad - Women's Shoe Accessories	Shoes For Crews	1132			1132	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1132&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1132	12.98	In Stock	Dual-density design for maximum comfort. SOF Sole Heel Spur Pad disperse heel strike shock and pressure to reduce discomfort. Built to fit most shoe styles. Available in both Men's and Women's sizes.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	US:western states::0 USD	Shoe Accessories	Clothing & Shoes		New					shoes					
1133	No Slip - Shoes For Crews - Sof Sole® Work Insoles - Men's Shoe Accessories	Shoes For Crews	1133			1133	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1133&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1133	17.98	In Stock	Best For Work Shoes These men's work insoles made by Sof Sole feature an anti-fatigue core and deep heel cup. The COOLMAX® cover wicks moisture and keep feet cool and dry. One size fits men's sizes 8-13	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1134	Anti-Skid - Shoes For Crews - Sof Sole® Work Insoles - Women's Shoe Accessories	Shoes For Crews	1134			1134	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1134&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1134	17.98	In Stock	Best For Work Shoes These wommen's work insoles made by Sof Sole feature an anti-fatigue core and deep heel cup. The COOLMAX® cover wicks moisture and keep feet cool and dry. One size fits men's sizes 8-13	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1140	Slip Proof - Shoes For Crews - Super Socks - Midcalf - Men's / White (3 pair) Shoe Accessorie	Shoes For Crews	1140			1140	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1140&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1140	9.98	In Stock	"A blend of cotton-nylon-Lycra® spandex that absorbs perspiration, allows feet to breathe and helps maintain shape. 3 pairs per package."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
